id,response
1,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，不同報紙的報導風格是否有明顯差異？

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，以報紙報導風格為研究目標。
- 避免報紙立場及題材造成的干擾，本文選取每天頭版頭條新聞。資料期間為2012年至2018年，其中頭條標題涵蓋四大報，但頭條內文僅有《蘋果日報》、《自由時報》。
- 本文分析常用詞彙、句長、標點、虛字等關鍵詞元素，探討不同報紙在報導風格上的差異。

研究方法：
- 文字分析法：從詞彙、句長、標點、虛字等角度進行分析。
- 統計分析法：將四大報頭條標題及內文分成不同群，進行比較分析。
- 機器學習模型：使用統計及機器學習模型來區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
2,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，本研究探討報紙報導風格之差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 評估報紙頭條標題及內文的口吻和風格的不同。
- 探索各報對主題相似的新聞報導的差異。
- 評估常用詞彙、句長、標點、虛字等因素對各報風格的影響。

研究方法：
- 選取每日頭版頭條新聞，範圍為2012年至2018年，濾除報紙立場及題材影響。
- 以常用詞彙、句長、標點、虛字等因素作為解釋變數，分析各報標題及內文的用字風格。 
- 使用 Jaccard指標和 Yue指標比較報紙標題之間的相似度，區分報社風格的不同；統計和機器學習模型評估常用詞彙的對各報風格的影響，並進行區隔。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 報紙內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 經統計及機器學習分析，使用常見詞彙可以準確地區隔《自由時報》或《蘋果日報》。"
3,"研究動機：
- 媒體對同一主題的報導經常有明顯差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討報紙報導的常用詞彙、句長、標點、虛字的使用情況。
- 分析頭條標題及內文的用字風格，並區分四大報的報導偏好。

研究方法：
- 以報紙頭版頭條新聞為研究對象，避免報紙立場及題材造成的干擾。
- 資料期間為2012年至2018年。
- 使用Jaccard指標及Yue指標區分四大報的風格差異。
- 以常見詞彙為解釋變數，結合統計及機器學習模型進行分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，以常用詞彙為解釋變數可以區分出《自由時報》與《蘋果日報》。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》偏好報導政治新聞，而《蘋果日報》則偏好報導社會新聞。"
4,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，希望透過研究報紙報導風格，了解不同媒體的報導風格差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 了解不同報紙的用字風格及其對不同類型新聞的偏好。

研究方法：
- 選取每天頭版頭條新聞作為研究對象，資料期間為2012年至2018年。
- 蒐集《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導內容，分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 使用Jaccard指標及Yue指標將四大報的報導分類，並以能代表不同報紙風格的常見詞彙為解釋變數，進行統計及機器學習模型分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。"
5,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，因此探討報紙報導風格的差異性。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等報導風格的差異
- 區隔出不同報紙的報導風格，分析其特色與偏好。

研究方法：
- 選取每天頭版頭條新聞作為研究對象，資料期間為2012年至2018年。
- 比較四大報的報導風格，包括常用詞彙、句長、標點、虛字等方面。
- 使用Jaccard指標及Yue指標分析四大報頭條標題之差異性。
- 以常見詞彙為解釋變數，進行統計及機器學習分析。

研究結果：
- 四大報的報導風格不完全相同，尤其在頭條標題方面更加明顯。
- 頭條標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。 
- 統計及機器學習模型都能夠區隔出《自由時報》或《蘋果日報》的報導風格。"
6,"研究動機：
- 媒體對同一主題的報導存在明顯差異

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格
- 以報紙報導頭版頭條新聞為分析對象
- 分析報紙常用詞彙、句長、標點、虛字等標記，探討使用情況
- 區隔報紙風格特色

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年
- 分析常用詞彙、句長、標點、虛字等標記特點
- 利用Jaccard和Yue指標區分報紙風格
- 使用統計和機器學習模型區分《自由時報》或《蘋果日報》的風格特色

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞
- 利用常見詞彙作為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》的風格特色"
7,"研究動機：
- 媒體對同一主題報導的風格有明顯差異，想探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 了解四大報的報導風格有何不同之處。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報的報導風格在常用詞彙、句長、標點、虛字等方面的差異。
- 使用Jaccard指標與Yue指標來比較報紙頭條標題的相似度。
- 使用統計及機器學習模型來區分《自由時報》或《蘋果日報》。

研究結果：
- 四大報的報導風格不完全相同，使用Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型能準確地區隔《自由時報》或《蘋果日報》。"
8,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，想探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討報紙頭條標題及內文在用字風格上的差異。
- 分析報紙用字風格是否與其傾向報導的類別有所關聯。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等特徵，並使用Jaccard指標和Yue指標進行群組分析。
- 結合統計及機器學習模型進行分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群;
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。"
9,"研究動機：
- 報導同一主題的報導經常有明顯差異，因此希望透過比較報紙的報導風格，了解不同報紙如何撰寫頭版頭條新聞。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討四大報頭條標題及內文的用字風格差異。
- 分析常用詞彙、句長、標點、虛字等變數，了解不同報社的特色。
- 建立模型區分《自由時報》或《蘋果日報》。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報頭條標題及內文的用字風格差異，分析Jaccard指標及Yue指標，進行分群。
- 分析常用詞彙、句長、標點、虛字等變數，透過統計及機器學習等方法區分《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 建立的模型可以準確地區隔《自由時報》或《蘋果日報》。"
10,"研究動機：
- 媒體對同一主題的報導經常有明顯差異

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格
- 研究報紙報導中常用詞彙、句長、標點、虛字等因素對報導風格的影響
- 探討不同報紙的報導偏好與支持度

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年
- 比較分析四大報的報導風格，包括常用詞彙、句長、標點、虛字等因素
- 利用Jaccard指標和Yue指標將四大報分群，以區分其風格差異
- 採用統計及機器學習模型區分《自由時報》或《蘋果日報》

研究結果：
- 四大報頭條標題和內文的報導風格存在差異
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群
- 《自由時報》傾向政治新聞，而《蘋果日報》傾向社會新聞
- 利用常見詞彙為解釋變數，統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。"
