id,response,type,length,num_sentence,num_word,words_cut
1,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，不同報紙的報導風格是否有明顯差異？

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格，以報紙報導風格為研究目標。
- 避免報紙立場及題材造成的干擾，本文選取每天頭版頭條新聞。資料期間為2012年至2018年，其中頭條標題涵蓋四大報，但頭條內文僅有《蘋果日報》、《自由時報》。
- 本文分析常用詞彙、句長、標點、虛字等關鍵詞元素，探討不同報紙在報導風格上的差異。

研究方法：
- 文字分析法：從詞彙、句長、標點、虛字等角度進行分析。
- 統計分析法：將四大報頭條標題及內文分成不同群，進行比較分析。
- 機器學習模型：使用統計及機器學習模型來區隔《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。",point,394,14,157,研究動機 媒體 同一 主題 報導 經常 明顯 差異 不同 報紙 報導 風格 是否 明顯 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 報紙 報導 風格 為 研究 目標 避免 報紙 立場 題材 造成 幹擾 本文 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 頭條 標題 涵蓋 四大報 頭條 內文 僅有 蘋果日報 自由時報 本文 分析 常用 詞彙 句長 標點 虛字 關鍵詞 元素 探討 不同 報紙 報導 風格 差異 研究方法 文字 分析法 詞彙 句長 標點 虛字 角度 進行 分析 統計 分析法 四大報 頭條 標題 內文 分成 不同 羣 進行 比較 分析 機器 學習 模型 使用 統計 機器 學習 模型 區隔 自由時報 蘋果日報 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 內文 分析 發現 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 能夠 代表 兩報 常見 詞彙 為 解釋 變數 統計 機器 學習 模型 準確 地區 隔 自由時報 蘋果日報 
2,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，本研究探討報紙報導風格之差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 評估報紙頭條標題及內文的口吻和風格的不同。
- 探索各報對主題相似的新聞報導的差異。
- 評估常用詞彙、句長、標點、虛字等因素對各報風格的影響。

研究方法：
- 選取每日頭版頭條新聞，範圍為2012年至2018年，濾除報紙立場及題材影響。
- 以常用詞彙、句長、標點、虛字等因素作為解釋變數，分析各報標題及內文的用字風格。 
- 使用 Jaccard指標和 Yue指標比較報紙標題之間的相似度，區分報社風格的不同；統計和機器學習模型評估常用詞彙的對各報風格的影響，並進行區隔。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同。標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 報紙內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 經統計及機器學習分析，使用常見詞彙可以準確地區隔《自由時報》或《蘋果日報》。",point,388,17,153,研究動機 媒體 同一 主題 報導 經常 明顯 差異 研究 探討 報紙 報導 風格 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 評估 報紙 頭條 標題 內文 口吻 風格 不同 探索 各報 主題 相似 新聞報導 差異 評估 常用 詞彙 句長 標點 虛字 因素 各報 風格 影響 研究方法 選取 每日 頭版頭條 新聞 範圍 為 2012 年 2018 年 濾除 報紙 立場 題材 影響 常用 詞彙 句長 標點 虛字 因素 作為 解釋 變數 分析 各報 標題 內文 用字 風格 使用   Jaccard 指標   Yue 指標 比較 報紙 標題 之間 相似 度 區分 報社 風格 不同 統計 機器 學習 模型 評估 常用 詞彙 各報 風格 影響 進行 區隔 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 報紙 內文 分析 發現 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 統計 機器 學習 分析 使用 常見 詞彙 準確 地區 隔 自由時報 蘋果日報 
3,"研究動機：
- 媒體對同一主題的報導經常有明顯差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討報紙報導的常用詞彙、句長、標點、虛字的使用情況。
- 分析頭條標題及內文的用字風格，並區分四大報的報導偏好。

研究方法：
- 以報紙頭版頭條新聞為研究對象，避免報紙立場及題材造成的干擾。
- 資料期間為2012年至2018年。
- 使用Jaccard指標及Yue指標區分四大報的風格差異。
- 以常見詞彙為解釋變數，結合統計及機器學習模型進行分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，以常用詞彙為解釋變數可以區分出《自由時報》與《蘋果日報》。
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》偏好報導政治新聞，而《蘋果日報》則偏好報導社會新聞。",point,309,15,121,研究動機 媒體 同一 主題 報導 經常 明顯 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 探討 報紙 報導 常用 詞彙 句長 標點 虛字 使用 情況 分析 頭條 標題 內文 用字 風格 區分 四大報 報導 偏好 研究方法 報紙 頭版頭條 新聞 為 研究 對象 避免 報紙 立場 題材 造成 幹擾 資料 期間 為 2012 年 2018 年 使用 Jaccard 指標 Yue 指標 區分 四大報 風格 差異 常見 詞彙 為 解釋 變數 結合 統計 機器 學習 模型 進行 分析 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 常用 詞彙 為 解釋 變數 區分 出 自由時報 蘋果日報 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 自由時報 偏好 報導 政治 新聞 蘋果日報 偏好 報導 社會 新聞 
4,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，希望透過研究報紙報導風格，了解不同媒體的報導風格差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 了解不同報紙的用字風格及其對不同類型新聞的偏好。

研究方法：
- 選取每天頭版頭條新聞作為研究對象，資料期間為2012年至2018年。
- 蒐集《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導內容，分析常用詞彙、句長、標點、虛字等因素對報導風格的影響。
- 使用Jaccard指標及Yue指標將四大報的報導分類，並以能代表不同報紙風格的常見詞彙為解釋變數，進行統計及機器學習模型分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。",point,377,14,149,研究動機 媒體 同一 主題 報導 經常 明顯 差異 希望 透過 研究 報紙 報導 風格 瞭解 不同 媒體 報導 風格 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 分析 常用 詞彙 句長 標點 虛字 因素 報導 風格 影響 瞭解 不同 報紙 用字 風格 不同 類型 新聞 偏好 研究方法 選取 每天 頭版頭條 新聞 作為 研究 對象 資料 期間 為 2012 年 2018 年 蒐集 蘋果日報 自由時報 聯合報 中國時報 報導 內容 分析 常用 詞彙 句長 標點 虛字 因素 報導 風格 影響 使用 Jaccard 指標 Yue 指標 四大報 報導 分類 並以 代表 不同 報紙 風格 常見 詞彙 為 解釋 變數 進行 統計 機器 學習 模型 分析 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 內文 分析 發現 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 統計 機器 學習 模型 能夠 準確 地區 隔 自由時報 蘋果日報 
5,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，因此探討報紙報導風格的差異性。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 分析常用詞彙、句長、標點、虛字等報導風格的差異
- 區隔出不同報紙的報導風格，分析其特色與偏好。

研究方法：
- 選取每天頭版頭條新聞作為研究對象，資料期間為2012年至2018年。
- 比較四大報的報導風格，包括常用詞彙、句長、標點、虛字等方面。
- 使用Jaccard指標及Yue指標分析四大報頭條標題之差異性。
- 以常見詞彙為解釋變數，進行統計及機器學習分析。

研究結果：
- 四大報的報導風格不完全相同，尤其在頭條標題方面更加明顯。
- 頭條標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。 
- 統計及機器學習模型都能夠區隔出《自由時報》或《蘋果日報》的報導風格。",point,341,16,138,研究動機 媒體 同一 主題 報導 經常 明顯 差異 探討 報紙 報導 風格 差異 性 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 分析 常用 詞彙 句長 標點 虛字 報導 風格 差異 區隔 出 不同 報紙 報導 風格 分析 特色 偏好 研究方法 選取 每天 頭版頭條 新聞 作為 研究 對象 資料 期間 為 2012 年 2018 年 比較 四大報 報導 風格 包括 常用 詞彙 句長 標點 虛字 方面 使用 Jaccard 指標 Yue 指標 分析 四大報 頭條 標題 差異 性 常見 詞彙 為 解釋 變數 進行 統計 機器 學習 分析 研究結果 四大報 報導 風格 完全 相同 尤其 頭條 標題 方面 更加 明顯 頭條 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 內文 分析 發現 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 統計 機器 學習 模型 能夠 區隔 出 自由時報 蘋果日報 報導 風格 
6,"研究動機：
- 媒體對同一主題的報導存在明顯差異

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格
- 以報紙報導頭版頭條新聞為分析對象
- 分析報紙常用詞彙、句長、標點、虛字等標記，探討使用情況
- 區隔報紙風格特色

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年
- 分析常用詞彙、句長、標點、虛字等標記特點
- 利用Jaccard和Yue指標區分報紙風格
- 使用統計和機器學習模型區分《自由時報》或《蘋果日報》的風格特色

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞
- 利用常見詞彙作為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》的風格特色",point,315,17,125,研究動機 媒體 同一 主題 報導 存在 明顯 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 報紙 報導 頭版頭條 新聞 為 分析 對象 分析 報紙 常用 詞彙 句長 標點 虛字 標記 探討 使用 情況 區隔 報紙 風格 特色 研究方法 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 分析 常用 詞彙 句長 標點 虛字 標記 特點 利用 Jaccard Yue 指標 區分 報紙 風格 使用 統計 機器 學習 模型 區分 自由時報 蘋果日報 風格 特色 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 利用 常見 詞彙 作為 解釋 變數 統計 機器 學習 模型 準確 地區 隔 自由時報 蘋果日報 風格 特色 
7,"研究動機：
- 媒體對同一主題報導的風格有明顯差異，想探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 了解四大報的報導風格有何不同之處。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報的報導風格在常用詞彙、句長、標點、虛字等方面的差異。
- 使用Jaccard指標與Yue指標來比較報紙頭條標題的相似度。
- 使用統計及機器學習模型來區分《自由時報》或《蘋果日報》。

研究結果：
- 四大報的報導風格不完全相同，使用Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 統計及機器學習模型能準確地區隔《自由時報》或《蘋果日報》。",point,286,14,110,研究動機 媒體 同一 主題 報導 風格 明顯 差異 想 探討 報紙 報導 風格 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 瞭解 四大報 報導 風格 有何 不同 處 研究方法 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 比較 四大報 報導 風格 常用 詞彙 句長 標點 虛字 方面 差異 使用 Jaccard 指標 Yue 指標 比較 報紙 頭條 標題 相似 度 使用 統計 機器 學習 模型 區分 自由時報 蘋果日報 研究結果 四大報 報導 風格 完全 相同 使用 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 統計 機器 學習 模型 準確 地區 隔 自由時報 蘋果日報 
8,"研究動機：
- 媒體對同一主題的報導經常有明顯差異，想探討報紙報導風格的差異。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討報紙頭條標題及內文在用字風格上的差異。
- 分析報紙用字風格是否與其傾向報導的類別有所關聯。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 分析常用詞彙、句長、標點、虛字等特徵，並使用Jaccard指標和Yue指標進行群組分析。
- 結合統計及機器學習模型進行分析。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群;
- 內文分析發現《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞，以能夠代表兩報的常見詞彙為解釋變數，統計及機器學習模型都能準確地區隔《自由時報》或《蘋果日報》。",point,322,13,128,研究動機 媒體 同一 主題 報導 經常 明顯 差異 想 探討 報紙 報導 風格 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 探討 報紙 頭條 標題 內文 用字 風格 差異 分析 報紙 用字 風格 是否 傾向 報導 類別 有所 關聯 研究方法 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 分析 常用 詞彙 句長 標點 虛字 特徵 使用 Jaccard 指標 Yue 指標 進行 羣組 分析 結合 統計 機器 學習 模型 進行 分析 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 ; 內文 分析 發現 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 能夠 代表 兩報 常見 詞彙 為 解釋 變數 統計 機器 學習 模型 準確 地區 隔 自由時報 蘋果日報 
9,"研究動機：
- 報導同一主題的報導經常有明顯差異，因此希望透過比較報紙的報導風格，了解不同報紙如何撰寫頭版頭條新聞。

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格。
- 探討四大報頭條標題及內文的用字風格差異。
- 分析常用詞彙、句長、標點、虛字等變數，了解不同報社的特色。
- 建立模型區分《自由時報》或《蘋果日報》。

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年。
- 比較四大報頭條標題及內文的用字風格差異，分析Jaccard指標及Yue指標，進行分群。
- 分析常用詞彙、句長、標點、虛字等變數，透過統計及機器學習等方法區分《自由時報》或《蘋果日報》。

研究結果：
- 四大報頭條標題及內文的用字風格不完全相同，其中標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群。
- 《自由時報》傾向政治新聞，《蘋果日報》傾向社會新聞。
- 建立的模型可以準確地區隔《自由時報》或《蘋果日報》。",point,351,15,135,研究動機 報導 同一 主題 報導 經常 明顯 差異 希望 透過 比較 報紙 報導 風格 瞭解 不同 報紙 撰寫 頭版頭條 新聞 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 探討 四大報 頭條 標題 內文 用字 風格 差異 分析 常用 詞彙 句長 標點 虛字 變數 瞭解 不同 報社 特色 建立 模型 區分 自由時報 蘋果日報 研究方法 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 比較 四大報 頭條 標題 內文 用字 風格 差異 分析 Jaccard 指標 Yue 指標 進行 分 羣 分析 常用 詞彙 句長 標點 虛字 變數 透過 統計 機器 學習 方法 區分 自由時報 蘋果日報 研究結果 四大報 頭條 標題 內文 用字 風格 完全 相同 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 建立 模型 準確 地區 隔 自由時報 蘋果日報 
10,"研究動機：
- 媒體對同一主題的報導經常有明顯差異

研究目的：
- 比較臺灣四大報《蘋果日報》、《自由時報》、《聯合報》、《中國時報》的報導風格
- 研究報紙報導中常用詞彙、句長、標點、虛字等因素對報導風格的影響
- 探討不同報紙的報導偏好與支持度

研究方法：
- 選取每天頭版頭條新聞，資料期間為2012年至2018年
- 比較分析四大報的報導風格，包括常用詞彙、句長、標點、虛字等因素
- 利用Jaccard指標和Yue指標將四大報分群，以區分其風格差異
- 採用統計及機器學習模型區分《自由時報》或《蘋果日報》

研究結果：
- 四大報頭條標題和內文的報導風格存在差異
- 標題的Jaccard指標將同時期報導放在同一群，Yue指標將四大報分成三群
- 《自由時報》傾向政治新聞，而《蘋果日報》傾向社會新聞
- 利用常見詞彙為解釋變數，統計及機器學習模型能夠準確地區隔《自由時報》或《蘋果日報》。",point,321,16,128,研究動機 媒體 同一 主題 報導 經常 明顯 差異 研究目的 比較 臺灣 四大報 蘋果日報 自由時報 聯合報 中國時報 報導 風格 研究 報紙 報導 中 常用 詞彙 句長 標點 虛字 因素 報導 風格 影響 探討 不同 報紙 報導 偏好 支持 度 研究方法 選取 每天 頭版頭條 新聞 資料 期間 為 2012 年 2018 年 比較 分析 四大報 報導 風格 包括 常用 詞彙 句長 標點 虛字 因素 利用 Jaccard 指標 Yue 指標 四大報 分 羣 區分 風格 差異 採用 統計 機器 學習 模型 區分 自由時報 蘋果日報 研究結果 四大報 頭條 標題 內文 報導 風格 存在 差異 標題 Jaccard 指標 將同 時期 報導 放在 一羣 Yue 指標 四大報 分成 三 羣 自由時報 傾向 政治 新聞 蘋果日報 傾向 社會 新聞 利用 常見 詞彙 為 解釋 變數 統計 機器 學習 模型 能夠 準確 地區 隔 自由時報 蘋果日報 
